Config,Organization,RAM,CPU,Scrubbed IPs,Duration_Seconds,Num_Commands
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.846,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.992,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.89,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.913,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.361,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.355,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.649,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.143,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.521,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.442,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.056,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.286,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,4.126,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.497,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,99.864,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.914,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.435,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.167,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,4.186,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,6.205,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.702,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.823,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.521,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.419,0
